Country/Territory,Code,VoiceAccount,PolStability,GovEffect,RegQual,RuleLaw,ContCorr,Region
El Salvador,SLV,0.0362370647490025,-0.0242039784789085,-0.356493681669235,-0.0192273296415806,-0.760862767696381,-0.591944813728333,AME
Somalia,SOM,-1.79678952693939,-2.51873135566711,-2.09357070922852,-2.06349611282349,-2.2997453212738,-1.67035186290741,SSA
São Tomé and Principe,STP,0.349032342433929,0.481792837381363,-0.644741058349609,-0.901486694812775,-0.685736060142517,0.163922891020775,SSA
Suriname,SUR,0.418228656053543,0.415541768074036,-0.539007902145386,-0.770076394081116,-0.107515536248684,-0.434007257223129,AME
Slovak Republic,SVK,0.882080137729645,0.639257192611694,0.544079422950745,0.784477889537811,0.678519129753113,0.444787919521332,WE/EU
Slovenia,SVN,0.935845971107483,0.706486403942108,1.16624307632446,0.922037184238434,1.06648850440979,0.807328343391418,WE/EU
Sweden,SWE,1.50424122810364,1.02289307117462,1.7191014289856,1.68247401714325,1.80638813972473,2.1281270980835,WE/EU
Eswatini,SWZ,-1.32759857177734,-0.118748262524605,-0.768503189086914,-0.557064890861511,-0.530746579170227,-0.455250918865204,SSA
Seychelles,SYC,0.445033818483353,0.716661810874939,0.511649310588837,-0.13098070025444,0.209211856126785,1.23000144958496,SSA
Syrian Arab Republic,SYR,-1.93446958065033,-2.73141813278198,-1.72934198379517,-1.86164951324463,-2.07215762138367,-1.71257019042969,MENA
Chad,TCD,-1.41971445083618,-1.26445806026459,-1.46000337600708,-1.13797104358673,-1.30516612529755,-1.41457009315491,SSA
Togo,TGO,-0.746729373931885,-0.924991369247437,-0.690932989120483,-0.59082967042923,-0.660938739776611,-0.736834585666657,SSA
Thailand,THA,-0.809891402721405,-0.624544858932495,0.300700485706329,0.183395206928253,0.12130880355835,-0.422221153974533,AP
Tajikistan,TJK,-1.78366732597351,-0.517877161502838,-0.710046410560608,-1.01740097999573,-1.21798455715179,-1.32014560699463,ECA
Turkmenistan,TKM,-2.03284525871277,-0.289081662893295,-1.15750288963318,-1.99294304847717,-1.40672302246094,-1.5421382188797,ECA
Trinidad and Tobago,TTO,0.644430875778198,0.177563518285751,0.179910823702812,-0.138957157731056,-0.125621542334557,-0.114902883768082,AME
Tunisia,TUN,0.273074477910995,-0.633951723575592,-0.203915923833847,-0.364922285079956,0.137513384222984,-0.0680283159017563,MENA
Turkey,TUR,-0.861699163913727,-1.18775999546051,-0.0440450869500637,-0.010659665800631,-0.358621627092361,-0.340780168771744,ECA
"Taiwan, China",TWN,1.10208415985107,0.766056895256043,1.58590257167816,1.3708484172821,1.27057528495789,1.15604615211487,AP
Tanzania,TZA,-0.713808476924896,-0.409507900476456,-0.772798717021942,-0.657513022422791,-0.603187084197998,-0.390099495649338,SSA
Uganda,UGA,-0.716181814670563,-0.780449151992798,-0.57694399356842,-0.431060701608658,-0.328886359930038,-1.05366063117981,SSA
Ukraine,UKR,0.0883246511220932,-1.16405940055847,-0.355652362108231,-0.295848190784454,-0.670037865638733,-0.78413462638855,ECA
Uruguay,URY,1.31499266624451,1.05067348480225,0.781888842582703,0.582089006900787,0.67865914106369,1.42294478416443,AME
United States,USA,0.868936896324158,-0.0220327284187078,1.31894195079803,1.24465918540955,1.36808633804321,1.06883764266968,AME
Uzbekistan,UZB,-1.53760707378387,-0.436574459075928,-0.507028996944428,-0.944906532764435,-1.06281709671021,-1.05058455467224,ECA
"Venezuela, RB",VEN,-1.50659096240997,-1.5178656578064,-1.78027510643005,-2.23441934585571,-2.34610462188721,-1.56031453609467,AME
Vietnam,VNM,-1.38046956062317,-0.0734304487705231,0.200307711958885,-0.147909745573998,-0.133931964635849,-0.352709531784058,AP
"Yemen, Rep.",YEM,-1.76706731319428,-2.67168235778809,-2.30766105651855,-1.79990744590759,-1.77656137943268,-1.67956674098969,MENA
Serbia,SRB,-0.117509365081787,-0.0928664207458496,0.0324048288166523,0.120263651013374,-0.184857979416847,-0.425881594419479,ECA
South Africa,ZAF,0.69723117351532,-0.236858427524567,0.299396395683289,0.203908666968346,-0.115416586399078,0.0640369355678558,SSA
"Congo, Dem. Rep.",ZAR,-1.28186726570129,-1.70818197727203,-1.69274306297302,-1.54084551334381,-1.79057037830353,-1.57239282131195,SSA
Zambia,ZMB,-0.430639922618866,-0.128189086914063,-0.767910838127136,-0.619891285896301,-0.622515082359314,-0.704854011535645,SSA
Zimbabwe,ZWE,-1.12147891521454,-1.08020758628845,-1.25060713291168,-1.42203152179718,-1.27485108375549,-1.25314009189606,SSA
